Index,Text,Category
2060,microsoft take desktop search  microsoft enter desktop search fray release test version tool find document email file pc hard drive  beta program work pc run window xp window 2000 desktop search market become increasingly crowd firm tout program help people find file search giant google launch desktop search tool october yahoo planning release similar software january  ambition search provide ultimate information tool find anything youre look say yusuf mehdi corporate vice president microsofts msn internet division microsofts program use toolbar window desktop internet explorer browser within outlook email program software giant come late desktop search arena compete large number rival google already release desktop tool yahoo planning get game january aol expect offer desktop search early next year small firm blinkx copernic enfish x1 technology xfriend offer tool catalogue huge amount information people increasingly store desktop home computer apple release similar search system computer call spotlight due release tiger operating system ,tech
1926,camera phone musthaves  four time mobile camera sell europe end 2004 last year say report analyst gartner  globally number sell reach 159 million increase 104 report predicts nearly 70 mobile phone sell builtin camera 2008 improve image technology mobile make increasingly musthave buy europe camera mobile take 13 megapixel image japan asia pacific camera phone technology much advanced mobile already release take 32 megapixel image japan still dominates mobile phone technology uptake huge 2008 accord gartner 95 mobile sell camera  camera phone teethe problem first launch people struggle poor quality image us well complexity expense send via mm multimedia message service change last 18 month handset maker concentrate try make phone easy use realise people like use camera phone different way introduce design feature like rotate screen viewfinder removable memory card easy control send picture message  mobile company introduce way people share photo people include give people easy way publish website mobile blog  moblogs report suggests image quality increase people interested printing picture kiosk image sensor technology inside camera phone improve gartner report suggests mid2005 likely image resolution camera phone two megapixels consumer digital camera image range two four megapixels quality six megapixels highend camera lot work do make camera phone like digital camera handset already feature limited zoom capability manufacturer look technological improvement let people take photo poorlylit condition like nightclub development include wideangle mode basic edit feature well sensor processor record film clip  image camera phone even make art world exhibition next month aid charity mencap feature snap take camera phone top artist  exhibition fonetography feature image take photographer david bailey rankin nan goldin artist sir peter blake tracey emin jack vettriano us worried many organisation intel samsung uk foreign office lawrence livermore national laboratory u decide ban camera phone building fear sensitive information snap leak many school fitness centre local council also ban fear privacy misuse italy information commissioner also voiced concern issue guideline phone use camera phone fear dampen manufacturer profit accord recent figure sony ericssons profit triple thirdquarter new camera phone 60 mobile sell three month september feature integrate camera say ,tech
1862,security warn fbi virus  u federal bureau investigation warn computer virus spread via email purport fbi  email show come fbigov address tell recipient access illegal website message warn internet use monitor fbi internet fraud complaint center attachment email contains virus fbi say message asks recipient click attachment answer question internet use rather questionnaire attachment contains virus infects recipient computer accord agency clear virus infect computer user warn never open attachment unsolicited email people know  recipient similar solicitation know fbi engage practice send unsolicited email public manner fbi say statement bureau investigate phoney email agency earlier month shut fbigov account use communicate public security breach spokeswoman say two incident appear unrelated ,tech
1961,firefox browser take microsoft  microsofts internet explorer serious rival longawaited firefox 10 web browser release  people get excite new software release especially program game music movie player release first full version firefox manage drum respectable amount prelaunch fervour fan software band together raise cash pay advert new york time announce version 10 browser available release firefox 10 9 november might even cause head turn microsoft program steadily win people away software giant internet explorer browser  firefox create mozilla foundation start former browser maker netscape back 1998 much development work do since go firefox make first appearance name february earlier incarnation core technology call phoenix firebird since software gain praise convert least large number security problem come light microsofts internet explorer rival ie get boost late june two u computer security organisation warn people avoid microsoft program avoid fall victim serious vulnerability  internet monitoring firm websidestory chart grow population people use firefox browser say responsible slowly erode stranglehold ie july year accord websidestory internet explorer use 95 web surfer figure remain static year july ie use population drop 947 end october stood 929 mozilla foundation claim firefox download almost eight million time publicly say would happy garner 10 window use netbrowsing population firefox prove popular moment far few security hole internet explorer innovation lack microsofts program instance firefox allows page different website arrange tab user switch easily block popups neat way find text page let search page browse  one powerful feature firefox many hundred extra extension produce mozilla foundation open source organisation mean creator browser happy others play around core code program result many different addons extension browser include everything version familiar google toolbar homeland security monitor keep user aware current threat level firefox use call firebird phoenix also grow number vocal netbased fan campaign coordinate spread firefox website attempt raise moneys000 need full page advert new york time campaign set target recruiting 2500 volunteer ten day campaign 10000 people sign moneys000 raise ad due run sometime threeweek period late novemberearly december surplus cash use help keep mozilla foundation run microsoft face grow challenge y hold web use population alternative browser opera safari amaya even netscape ,tech
2160,yahoo dominate next decade  yahoo reach grand old age 10 internet year long time  many yahoo remains synonymous internet  veteran manage ride dotcom wave subsequent crash maintain one web top brand others another newer net icon threaten overshadow yahoo post dotcom world  google  veteran upstart plenty common  yahoo first internet firm offer initial public share google arguably watch ipo initial public offering postdotcom era begin life search engine although 2000 yahoo chose google power search facility concentrate web portal business much yahoo command press attention recent year column inch stack google favour search engine also diversifies launch service gmail shopping channel froogle google news  jupiter analyst olivier beauvillain yahoo initial decision put investment search hold error yahoo busy building portal good diversify make big mistake outsource search google say thought google would technology provider become portal right direct competitor add believe yahoo fail see crucial search would become internet user something rediscover recent year interest last year refocus search follow success google say allen weiner research director analyst firm gartner someone follow yahoo progress since early year future search go purely technology power search technology valuable next generation search go premium content interface user content say believe rivalry google yahoo overblown instead think real battle go yahoo msn battle yahoo currently win believe microsoft amaze asset include software capability global name yet show create rival product yahoo say  convince yahoo remains single important brand world wide web  believe yahoo seminal brand web look text book definition web portal yahoo say achieve dominance weiner believe canny combination acquisition inktomi overture avoid direct involvement either content creation internet access say yahoo hasnt dark day dotcom bubble burst lose onethird revenue single year bore succession loss saw market value fall peak moneysbn moneysbn one point crucial survival decision replace chief executive tim koogle terry semel may 2001 think weiner business savvy couple technical genius founder jerry yang prove win combination say  internet giant emerges first decade survivor fare enters teenage year game lose msn one stand way yahoo domination predict weiner nick hazel yahoo head consumer service uk think fact yahoo grown first wave internet generation stand good stead search key focus make yahoo messenger available mobile forge new broadband partnership bt uk continue provide range service beyond desktop say weiner think yahoo vision become ultimate gateway web move increase towards movie television people get broadband access spread portal wing expand rich medium predicts ,tech
2092,yahoo move desktop search  internet giant yahoo launch software allow people search email file pc  firm follow footstep microsoft google ask jeeves offer similar service search become lucrative hotlycontested area expansion net firm look extend loyalty beyond web hard drive provide big storage user could need help locate important file photo  desktop search technology license usbased firm x1 technology design work alongside microsofts outlook outlook express email program search email effectively become increasingly important especially amount spam increase accord research message analyst radicati group 45 business critical information store email attachment yahoo software also work separately desktop search music photo file user search variety criterion include file name size date time doesnt yet incorporate web search although yahoo promise future version allow user search webbased desktop data get file desktop real commercial opportunity lie link web content say julian smith analyst research firm jupiter extend idea search get closer relationship consumer organise search internet file computer well say search engine often first port call user go onto web new foray desktop search rung alarm bell human right group concerned implication privacy everyone impressed functionality service alexander linden vice president emerge technology analyst firm gartnerdownloaded google product since remove interest say believe rush enter desktop business way keep rival desktop search one many feature people would like im suspicious usefulness say useful would tool combine internet intranet desktop search alongside improvement key word search say ,tech
1890,tough rule ringtone seller  firm flout rule ringtones mobile extra sell could cut uk phone network  rule allow offender cut let consumer know exactly get money turn service first month new rule see least ten firm suspend clean way work rule brought ensure problem plague net user spread mobile phone  last couple year ringtones wallpaper screensavers lot extra phone become hugely popular fierce competition make difficult firm get ware front consumer say jeremy flynn head third party service vodafone  operator portal go quite heavy marketing cost problem people discover service say combat many ringtone mobile content seller start use new tactic squeeze cash customer tactic involve signing people subscription give instance several ringtones per week month instead single track thought get flynn say move use subscription happen space week end 2004 website grumbletextcouk start get report customer rack large bill phone content know sign make u uncomfortable service market transparently say flynn people know offer subscription service saw potential substantial consumer harm add  swift adoption subscription service lead creation new code conduct firm want sell content mobile phone draft new rule lead mobile entertainment forum uk phone firm everyone require conform code conduct say andrew bud regulatory head mef executive chairman message firm mblox  transparency say consumer told get get consumer right protect say christian harris partnership manager mobile content firm zed say new system essential consumer trust company sell ringtones downloads groundrules must apply across whole industry thats do effectively see cowboy driven say new rule come force 15 january first month new regime see many firm caution honour told revamp website customer know get money signing say flynn also say flynn vodafone briefly cut eight ten content seller flout rule quite draconian contract firm say say cut rule consumer must able switch service use universal stop command sent via text message say system design limit much consumer pay inadvertently sign service mobile personal people really resent abuse effectively part personality say flynn ,tech
2129,gamers could drive highdefinition  tv film game gear time next revolution transform quality screen  call highdefinition  hd short  already hugely popular japan u set accord analyst image cd sound different equipment able receive hd signal need though expensive europe gamers may early adopter drive demand european wait least 2006 see mainstream hdtv  view need transmit hd format people need special receiver display handle highquality resolution next generation console however expect start appear end 2005 start 2006 new computer display plasma set already capable handle highresolution picture next generation console hd support mandatory dr mark tuffy game system director digital content firm thx told bbc news website every game go playable hd consumer go spent money hdtv content watch go blown away really highdetail picture go change really way look game  end last year chris deering sonys european president make prediction 20 million european household would hdtv set 2008 previous prediction analyst datamonitor put figure 46 million 2008 increase estimate 50000 set end 2003 europe may see little point buying quite expensive bit technology  2000  programme film watch satellite broadcaster bskyb planning hdtv service 2006 bbc intend produce content hd 2010  broadcast right format standard  practicality update equipment  agree tv content limited tv image make pixel go across screen scan line go screen standard uk tv picture make 625 line 700 pixel hd offer 1080 active line line make 1920 pixel mean picture six time sharp standard tv probably uk game go thing go really able show look tv hd really adopt broadcaster explains dr tuffy gamers also ideal target audience hd always crave well quality graphic immersive game experience use spending money hardware match game requirement demographic change sweet spot game industry gamer late 20 mean likely high disposable income afford price bigscreen highdefinition display technology hd projector earlier others  high capacity storage disc hddvd blueray  set standard next round game console  allow developer room detailed graphic  console developer though hd offer production change could make game production slightly expensive think dr tuffy may see crossplatform development game become common easily able take pc game apply console say literally go get point lord ring game example go closer closer actual film especially cgi stuff dvd transition move cut scene game almost get seamless hd say transition completely seamless quality bigscreen cinema release could herald increase convergence film game industry may generation next game console two industry really collide point say dr tuffy game could become less interactive movie ,tech
1900,rich picking hitech thief  virus trojan malicious program sent net catch undergo subtle change  shift happen tech savvy criminal turn technology help con people cash steal valuable data take home pc virus write make headline infect million get rarer instead program craft directly criminal end firm tighten network defence combat new wave malicious code  grow criminal use malware meant end neat categorisation different sort virus malicious program broadly possible name categorise virus method use spread infect machine many virus write criminal roll lot technical trick together one nasty package  cannot put neat little box use say pete simpson head threat laboratory security firm clearswift virus likely spread like worm exploit loophole browser hide email message attachment outright criminality say simpson explain change come say many criminal program come eastern europe cashrich organise gang find ready supply technical expert crank code order former virus writer marek strihavka aka benny 29a virus write group recently quit malware scene partly take spyware writer phishing gang spammer interested money rather technology longer virus writer produce program show technical prowess rival underground world malware author least say paul king principal security consultant cisco defence attack common many way least likely way email u get antivirus firewall say malicious program write hitech thief cleverly write many much pragmatic use try test technique infect machine trick user instal program hand important data think criminal clever say king work  tactic use malicious program change say king many firm change way defend many scan machine connect corporate network ensure compromise core network  many let machine connect worker get job late patch setting uploaded well use different tactic criminal also use technology reason much transparent main motivation money say gary stowell spokesman st bernard software stowell say organise crime gang turn computer crime risk caught low rate return high almost phishing spyware attack criminal guaranteed catch people contact exploit recover socalled spyware prove popular criminal allow take machine end steal key data user hijack web browsing session point people particular site case spyware write search rival malicious program pc infects try erase sole ownership machine ,tech
2071,apple sue stop product leak  computer firm apple issue lawsuit prevent online leak information future product  lawsuit unidentified individual come week macworld conference san francisco use showcase new product complaint say unidentified individual recently misappropriate disseminate confidential information lawsuit file santa clara california superior court apple famously secretive future product launch apple user equally famous speculate new technology company fan speculate recent week possibility new type ipod announce macworld conference  apple say sevenpage complaint file 13 december know true name capacity whether individual associate corporate otherwise defendant company say would amend complaint discover name allegedly leak information first time apple sue people post information future product internet december 2002 apple sue former contractor allegedly post online drawing image engineering detail company powermac g4 computer statement apple say current lawsuit apple file civil complaint unnamed individual believe stole trade secret post detailed information unannounced apple product internet ,tech
2212,mobile multimedia slow catch  doubt mobile phone sport camera colour screen hugely popular  consumer swap old phone slinkier dinkier version thought responsible 26 increase number phone sell third quarter 2004 accord analyst gartner 167 million handset sell globally july september 2004 period accord gartner analyst carolina milanesi seldom strong although consumer mobile take send snap sound video clip far take chance  fact number people take send picture audio video grow figure gather continental research show 36 british camera phone user never sent multimedia message mm 7 2003 despite fact period number camera phone uk double 75 million get mobile phone user send multimedia message really important operator keen squeeze cash customer offset cost subsidise handset people buying problem face say shailendra jain head mm firm adamind educate people send multimedia message use funky handset  also say simplify interface rocket science term someone understand research bear suspicion people send multimedia message know accord continental research 29 people question say technophobe tend shy away innovation 11 regard technically savvy enough send picture video message fact multimedia service interoperable across network phone add people reluctance start send say jain ask im stream video one handset another work say there lot user apprehension  deeper technical reason multimedia message push strongly might andrew bud executive chairman message firm mblox say mobile phone operator cap number message circulate one time fear overwhelm system rate send mm mobile network fairly constant say reason finite capacity data traffic second generation network currently user  noone want take risk swamp relatively narrow channel number mm message capped say bud lead operator find technology particularly one know wappush get multimedia customer network find good way get multimedia customer result dramatic israeli technology firm celltick found way broadcast data across phone network way overwhelm exist bandwidth one first firm use celltick service hutch india large mobile firm country broadcast system get multimedia customer via roll menu far faster would possible system multimedia message system get people use see phone device handle different type content result 40 subscriber hutch alive us cellticks broadcast technology regularly click picture sound image operator operator really need start utilise tool reach customer say yaron toren spokesman celltick multimedia message get ,tech
2085,broadband steam ahead u  american join internet fast lane accord official figure  number people business connect broadband jumped 38 year say u federal communication commission fcc report say 32 million broadband connection end june 2004 u still behind compare nation ranked 13th world un telecom body  2004 reelection campaign president george w bush pledge ensure affordable highspeed net access would available american 2007  accord report fcc broadband become increasingly popular people use research shopping well download music watch video total number people business broadband rise 325 million year end june 2004 compare 235 million june 2003 whereas uk people hook broadband via asymmetric digital subscriber line adsl technology let ordinary copper phone line support high data speed u cable lead way accounting 186 million line broadband phone line make 114 million connection accord fcc figure ,tech
1870,million buy mp3 player u  one 10 adult american  equivalent 22 million people  own mp3 player accord survey  study pew internet american life project found mp3 player gadget choice among affluent young american survey interview teenager likely million under18s also mp3 player american love affair digital music player make possible home get broadband  22 million american mp3 player 59 men compare 41 woman high income  judged moneys000 39000  four time likely player earn less money 000  15000 broadband access play big part ownership almost quarter broadband home player compare 9 dialup access mp3 player still gadget choice young adult almost one five u citizen age 30 one compare 14 age 3039 14 age 4048 influence child also play part sixteen percent parent living child 18 digital player compare 9 dont ease use growth music available net main factor upsurge ownership survey found people begin use instrument social activity  share song take part podcast  survey found ipod mp3 player become mainstream technology consumer say lee rainie director pew internet american life project growth market inevitable new device become available new player enter market new social us ipodsmp3 player become popular add ,tech
